"id","legalese","entities","flesch","text"
158,0.184,5,0,"- the rice produced outside the eu is not controlled as much as that produced by the member states, without a clear and clear law on labeling it is in fact impossible to distinguish the two products, although different in quality, safety and sustainability, putting european rice growers in the position to suffer from unfair competition. "
161,0.184357541899441,0.4,0,"The accelerated deployment of renewable energy, in particular wind and solar, is welcoming and should be supported with ambitious targets of at least 40% by 2030. However, as long as the access to globally competitive renewable electricity and feedstock cannot be guaranteed, binding targets should not be implemented for the industrial sector. This could introduce additional cost burdens on sectors at risk for carbon leakage, if supply cannot sufficiently cover the growing end-use demand in all sectors. "
166,0.185737976782753,0.785714285714286,0,"In italy, the reuse of waste water is governed by ministerial decree 185/2003 which regulated the reuse also in agriculture by imposing too stringent parameters for purified waste water (in some cases even more restrictive than those for drinking water), costly tertiary treatment and consequently reduced water reuse. These are important limitations which will need to be reflected in the definition of the technical parameters when implementing the regulation. The greatest risk that can be glimpsed is the possible additional costs for the end user, i. "
162,0.185064935064935,1.14285714285714,0,"As part of this path, the transport sector presents challenging and demanding targets that require the contribution of all solutions capable of bringing positive environmental externalities. For this reason it is believed that the proposal to revise the regulation on co2 emissions must have a technologically neutral approach, laying the foundations so that the automotive sector as a whole can evolve and offer different solutions to achieve the target of climate neutrality by 2050. The forecast co2 standards focused on exhaust emissions do not, on the other hand, allow the environmental footprint of the various technologies to emerge and do not allow renewable fuels with zero / low carbon emissions to contribute to the decarbonisation process with a complementary role to the electrification of mobility. "
122,0.172839506172839,1.53846153846154,0,"- european sustainable biofuels today account for over 89% of renewables in the european transport. They are the most widely available alternative to fossil fuels and deliver significant ghg emissions savings, and should continue to decarbonise all transport modes. - biofuels comply today with strict single eu-wide sustainability criteria. "
97,0.163157894736842,3.5,0,"Coherence with other eu policies is an essential element of to assess and fefac considers that coherence with the eu policies on feed and amr should be included in the scope of the evaluation for the following reasons:- animal health, animal welfare and animal feeding are closely interlinked: there is a large body of evidence that animal feeding practices have an effect on animal welfare, whether negative if the feed is insufficient in quantity (hunger), quality (deficiencies) or safety (antinutrients) or positive (better digestion via specific formulation for diet transitions or digestibility enhancers, ability to improve resilience to pathogens);- in its 2017 action plan on amr, the eu commission put emphasis on strengthening infection prevention, one of the actions listed being promotion of « feeding regimes, which support good animal health and welfare to reduce antimicrobial consumption ». - the ongoing evaluation of the feed additives regulation (ec) no 1831/2003 is looking at its relevance against objectives such as animal welfare, sustainable livestock production and protection of the environment. "
248,0.207322357019064,2.04587155963303,0,"The chemical sector, both in portugal and at european level, is strongly committed to the implementation of the green deal, namely with regard to the energy transition, decarbonization and other aspects, as we have been referring in previous moments of these processes. . However, accelerating the decarbonization of the economy and reducing emissions, considering the goals defined by the green deal, requires significant investments, whose economic and financial viability is strongly dependent on fair competition conditions, the availability of adequate support mechanisms and the maintenance of competitiveness. "
297,0.221176470588235,2.74193548387097,43.7703301886793,"Best regards, pierre primarddgac/dta/sdd. Foreword we would like to start by underlining the fact that the current consultation cannot be undertaken efficiently since the new mrr and avr texts should be reviewed with the knowledge of what the corsia delegated act contents will be. Thus, the current state of our comments might need to be revised when said delegated act is made public. "
226,0.201030927835052,2.54545454545455,0,"- these investments must go as a priority to sustainable and solidarity-based companies or undertaking to move towards a circular, redistributive, inclusive, social economy, these investments must not finance hyper-capitalist companies whose only known objective is profitability for the shareholders (like some multinationals in europe which made record profits last year and which planned redundancy plans this year, it will not be necessary to give priority to helping these companies which do not integrate the social, societal volley in their recent decisions) . - these investments will have to make it possible to reconnect the real economy with the financialized economy which has locked itself in on itself with a lot of speculation and which has never been so disconnected from the real economy, it would therefore be necessary to condition this increase in european capital by introducing a tax on financial transactions on all european stock exchanges. This money collected from the tax will be used to finance the ecological transition in europe and also to reduce poverty and precariousness in europe. "
183,0.190311418685121,4.25,0,"As regards to the technical documentation, the information shall be provided in the order as set out in points (1) to (13). The exact wording used in the list does not need to be repeated. The information may be displayed using clearly understandable graphs figures or symbols rather than text:(1) rated efficiency (ηn) at the full, 75 % and 50 % rated load and voltage (un), determined based on the 50 hz operation and 25 °c ambient reference temperature;(1) efficiency level: ‘ie2’ ‘ie3’ ‘ie4’ or ‘ie5’, as determined as specified in the first section of this annex, followed by the term “-motor”(2) manufacturer’s name or trade mark, commercial registration number and address;(3) product’s model identifier;(4) number of poles of the motor;(5) the rated power output(s) pn or range of rated power output (kw);(6) the rated input frequency(s) of the motor (hz);(7) the rated voltage(s) or range of rated voltage (v);(8) the rated speed(s) or range of rated speed (rpm);(9) whether single-phase or three-phase;(10) information on the range of operating conditions for which the motor is designed:(a) altitudes above sea-level;(b) minimum and maximum ambient air temperatures including for motors with air cooling;(c) water coolant temperature at the inlet to the product, where applicable;(d) maximum operating temperature;(e) potentially explosive atmospheres;(11) information relevant for disassembly recycling or disposal at end-of-life;(12) if the motor is considered exempt from efficiency requirement in accordance with article 4(2) of this regulation: the specific reason why it is considered exempt. "
